Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Cold All,0.004532736,0.003508066,1.004543024,0.997659669,1.011474,0.03926043,0.02506662,1.00393376,0.999013472,1.008878281,0.000442995,0.001007361,1.005686443,0.98058854,1.031427,5.17E-05,0.00038675,1.00033616,0.995419431,1.005277,,1.004543024,0.997659669,1.011473871,1.00393376,0.999013472,1.008878281,1.005686443,0.98058854,1.03142672,1.000336106,0.995419378,1.00527712
Cold Female,0.011654647,0.004473712,1.011722827,1.00289034,1.020633,0.06535206,0.03196908,1.006556607,1.000269303,1.012883431,0.000564303,0.001249585,1.007249228,0.976162208,1.039326,0.000546553,0.000494118,1.003558912,0.997261288,1.009896,,1.011722827,1.00289034,1.020633102,1.006556607,1.000269303,1.012883431,1.007249228,0.976162208,1.03932625,1.003558912,0.997261288,1.009896306
Cold Male,-0.001541899,0.003775662,0.998459289,0.991097666,1.005876,0.01689544,0.02699794,1.001690972,0.996404427,1.007005565,0.000477606,0.001268948,1.006132082,0.974605982,1.038678,-0.00036915,0.000415775,0.997603401,0.992333093,1.002902,,0.998459289,0.991097666,1.005875592,1.001690972,0.996404427,1.007005565,1.006132082,0.974605982,1.038677972,0.997603401,0.992333093,1.0029017
Age 0-10 All,0.001701645,0.004106893,1.001703094,0.99367224,1.009799,-0.004555174,0.038708916,0.999544586,0.991989789,1.007156919,0.000492163,0.001066678,1.006319571,0.979746777,1.033613,-0.0001188,0.00052028,0.999228098,0.99262675,1.005873,,1.001703094,0.99367224,1.009798853,0.999544586,0.991989789,1.007156919,1.006319571,0.979746777,1.033613075,0.999228098,0.99262675,1.005873348
Age 0-10 Female,0.005694467,0.005693667,1.005710711,0.994549786,1.016997,0.06356257,0.05339466,1.006376501,0.995899334,1.01696389,0.000682904,0.001478268,1.008779487,0.972052352,1.046894,0.000405431,0.000721047,1.002638777,0.993470573,1.011892,,1.005710711,0.994549786,1.016996885,1.006376501,0.995899334,1.01696389,1.008779487,0.972052352,1.046894286,1.002638777,0.993470573,1.01189159
Age 0-10 Male,-0.001200123,0.005013763,0.998800597,0.989033477,1.008664,-0.05418387,0.04748456,0.994596266,0.985382527,1.003896157,0.000600486,0.001308963,1.007715836,0.975160659,1.041358,-0.000498081,0.000635327,0.996767709,0.988732368,1.004868,,0.998800597,0.989033477,1.008664171,0.994596266,0.985382527,1.003896157,1.007715836,0.975160659,1.041357848,0.996767709,0.988732368,1.004868352
Age 11-60 All,-0.002144555,0.002217091,0.997857743,0.993530962,1.002203,-0.004131428,0.020453337,0.999586943,0.995587766,1.003602184,0.000265997,0.000746788,1.003410564,0.984786261,1.022387,-0.000286623,0.000278211,0.998138685,0.994607136,1.001683,,0.997857743,0.993530962,1.002203367,0.999586943,0.995587766,1.003602184,1.003410564,0.984786261,1.022387092,0.998138685,0.994607136,1.001682773
Age 11-60 Female,0.000571837,0.002959082,1.000572001,0.994785678,1.006392,0.01505052,0.02712251,1.001506185,0.996196293,1.00684438,0.000352912,0.000967543,1.004527492,0.980437434,1.029209,-4.78E-05,0.000370708,0.999689371,0.99497915,1.004422,,1.000572001,0.994785678,1.00639198,1.001506185,0.996196293,1.00684438,1.004527492,0.980437434,1.029209459,0.999689348,0.994979127,1.004421868
Age 11-60 Male,-0.004034283,0.002489745,0.995973844,0.99112543,1.000846,-0.0178923,0.02309155,0.99821237,0.993704725,1.002740462,0.000300007,0.00100713,1.003847472,0.978801135,1.029535,-0.000452328,0.000312832,0.997064186,0.993098315,1.001046,,0.995973844,0.99112543,1.000845975,0.99821237,0.993704725,1.002740462,1.003847472,0.978801135,1.029534715,0.997064186,0.993098315,1.001045894
Age 60+All,0.002395089,0.003430369,1.00239796,0.99568092,1.00916,0.007961821,0.031527575,1.000796499,0.994631241,1.006999973,4.10E-04,0.001337154,1.005256017,0.972092546,1.039551,-3.66E-05,0.000429709,0.999762061,0.994303825,1.00525,,1.00239796,0.99568092,1.009160313,1.000796499,0.994631241,1.006999973,1.005261795,0.972098133,1.039556853,0.999762128,0.994303892,1.005250328
Age 60+ Female,0.004901315,0.004082414,1.004913346,0.996904584,1.012986,0.007404428,0.037518225,1.000740717,0.993408689,1.00812686,0.00048834,0.001736824,1.006270329,0.963365218,1.051086,1.06E-06,0.000511113,1.000006883,0.993516413,1.00654,,1.004913346,0.996904584,1.012986447,1.000740717,0.993408689,1.00812686,1.006270329,0.963365218,1.051086291,1.00000689,0.99351642,1.006539761
Age 60+ Male,-0.001450333,0.004739231,0.998550718,0.989318234,1.007869,0.008574948,0.043532999,1.000857863,0.992354404,1.009434187,0.000564417,0.00200792,1.007250698,0.957767562,1.05929,-9.51E-05,0.000594273,0.999382157,0.991844367,1.006977,,0.998550718,0.989318234,1.007869362,1.000857863,0.992354404,1.009434187,1.007250698,0.957767562,1.059290384,0.999382041,0.991844252,1.006977115
All: LAG 8,-0.003142034,0.002067402,0.996862897,0.992831674,1.00091,-0.01879175,0.0192342,0.99812259,0.994366848,1.001892517,0.000247268,0.000608724,1.003170044,0.987966353,1.018608,-0.000462416,0.00025962,0.996998809,0.993706624,1.000302,,0.996862897,0.992831674,1.000910488,0.99812259,0.994366848,1.001892517,1.003170044,0.987966353,1.018607703,0.996998809,0.993706624,1.0003019
Female,0.000641562,0.002576667,1.000641768,0.995600999,1.005708,0.01045619,0.02384022,1.001046166,0.996379506,1.005734683,0.000307247,0.000772085,1.003940505,0.984681238,1.023576,-0.000155186,0.000323417,0.9989918,0.994884089,1.003116,,1.000641768,0.995600999,1.005708059,1.001046166,0.996379506,1.005734683,1.003940505,0.984681238,1.023576462,0.9989918,0.994884089,1.00311647
Male,-0.006229405,0.002296674,0.993789958,0.989326485,0.998274,-0.04323362,0.02146358,0.99568597,0.991506055,0.999883506,0.000275499,0.000783331,1.003532612,0.984003504,1.023449,-0.000713451,0.000288647,0.995373305,0.991719678,0.99904,,0.993789958,0.989326485,0.998273568,0.99568597,0.991506055,0.999883506,1.003532612,0.984003504,1.023449306,0.995373305,0.991719678,0.999040392
Warm All,-0.005852802,0.002469121,0.994164292,0.98936468,0.998987,-0.101272574,0.030500748,0.989923851,0.984023595,0.995859485,2.89E-04,0.000760946,1.003701644,0.984722106,1.023047,-0.000591399,0.000344064,0.996163286,0.991806284,1.000539,,0.994164292,0.98936468,0.998987188,0.989923851,0.984023595,0.995859485,1.00370605,0.984726429,1.023051485,0.996163286,0.991806284,1.000539427
Warm Female,-0.00421645,0.002959,0.995792427,0.990033904,1.001584,-0.08827411,0.03670093,0.991211436,0.984106857,0.998367306,0.000344565,0.000990793,1.004420172,0.979761031,1.0297,-0.000276488,0.000412801,0.998204442,0.99296858,1.003468,,0.995792427,0.990033904,1.001584444,0.991211436,0.984106857,0.998367306,1.004420172,0.979761031,1.029699948,0.998204442,0.99296858,1.003467912
Warm Male,-0.007143595,0.002877584,0.99288186,0.987297704,0.998498,-0.11141398,0.03546819,0.988920438,0.982069535,0.995819132,0.000337209,0.001000277,1.004325604,0.979435715,1.029848,-0.000838178,0.000400427,0.994566657,0.989505855,0.999653,,0.99288186,0.987297704,0.998497599,0.988920438,0.982069535,0.995819132,1.004325604,0.979435715,1.029848006,0.994566657,0.989505855,0.999653343
Cold All,-0.000290805,0.003509422,0.999709237,0.992856366,1.006609,0.02651354,0.02527774,1.002654872,0.997699567,1.007634789,0.000444145,0.001002495,1.005701247,0.980722692,1.031316,-0.000295643,0.000388091,0.998080166,0.993157558,1.003027,,0.999709237,0.992856366,1.006609408,1.002654872,0.997699567,1.007634789,1.005701247,0.980722692,1.031315994,0.998080166,0.993157558,1.003027173
Cold Female,0.006551621,0.004476448,1.00657313,0.99778025,1.015443,0.06138915,0.03214814,1.006157797,0.999837893,1.012517648,0.000564636,0.00124424,1.007253521,0.976297277,1.039191,1.76E-05,0.000496321,1.000114717,0.993810814,1.006459,,1.00657313,0.99778025,1.015443496,1.006157797,0.999837893,1.012517648,1.007253521,0.976297277,1.03919132,1.000114407,0.993810505,1.006458295
Cold Male,-0.006126287,0.003763072,0.99389244,0.986588834,1.00125,-0.00353359,0.02719862,0.999646703,0.994331836,1.004989979,0.00047826,0.001264525,1.006140504,0.974722294,1.038571,-0.000563085,0.000415725,0.996346637,0.9910836,1.001638,,0.99389244,0.986588834,1.001250115,0.999646703,0.994331836,1.004989979,1.006140504,0.974722294,1.038571417,0.996346637,0.9910836,1.001637623
Age 0-10 All,-0.000346125,0.004116103,0.999653935,0.991621609,1.007751,-0.01219243,0.03900467,0.9987815,0.991175013,1.006446361,0.000491667,0.001064593,1.006313182,0.979791807,1.033552,-0.000635125,0.000521397,0.995880197,0.989286888,1.002517,,0.999653935,0.991621609,1.007751324,0.9987815,0.991175013,1.006446361,1.006313182,0.979791807,1.033552448,0.995880197,0.989286888,1.002517449
Age 0-10 Female,0.001709253,0.005713821,1.001710715,0.99055505,1.012992,0.04650066,0.05390671,1.004660894,0.994101814,1.015332131,0.000681973,0.001473888,1.008767465,0.972147587,1.046767,-0.000384045,0.000725491,0.997506821,0.988329586,1.006769,,1.001710715,0.99055505,1.012992014,1.004660894,0.994101814,1.015332131,1.008767465,0.972147587,1.04676678,0.997506821,0.988329586,1.006769271
Age 0-10 Male,-0.0018139,0.00501912,0.998187744,0.988416239,1.008056,-0.05483443,0.04777806,0.994531564,0.985261744,1.003888598,0.000599931,0.001309876,1.007708677,0.975131396,1.041374,-0.000810448,0.000634814,0.994745939,0.986733346,1.002824,,0.998187744,0.988416239,1.00805585,0.994531564,0.985261744,1.003888598,1.007708677,0.975131396,1.041374303,0.994745939,0.986733346,1.002823597
Age 11-60 All,-0.003943743,0.002219719,0.996064023,0.991739911,1.000407,-0.02330081,0.0206099,0.997672632,0.993650622,1.001710921,0.000265688,0.000743261,1.003406596,0.984869508,1.022293,-0.000459647,0.000278545,0.997016753,0.993484947,1.000561,,0.996064023,0.991739911,1.000406989,0.997672632,0.993650622,1.001710921,1.003406596,0.984869508,1.022292586,0.997016753,0.993484947,1.000561115
Age 11-60 Female,0.001341339,0.002959757,1.001342239,0.995550145,1.007168,0.01759168,0.02729553,1.001760716,0.996415683,1.007134421,0.000352646,0.000958509,1.004524072,0.980656332,1.028973,9.55E-07,0.000370908,1.000006208,0.995291957,1.004743,,1.001342239,0.995550145,1.007168031,1.001760716,0.996415683,1.007134421,1.004524072,0.980656332,1.028972717,1.000006208,0.995291957,1.004742787
Age 11-60 Male,-0.007655271,0.002490014,0.992373956,0.987542546,0.997229,-0.05273347,0.02323365,0.994740533,0.990220986,0.999280707,2.99E-04,0.001005733,1.003837026,0.978825254,1.029488,-7.84E-04,0.000312883,0.994915126,0.990957159,0.998889,,0.992373956,0.987542546,0.997229003,0.994740533,0.990220986,0.999280707,1.003834533,0.978822824,1.029485363,0.994916963,0.990958989,0.998890745
Age 60+All,-0.002065216,0.003438063,0.997936915,0.991234821,1.004684,-0.007163996,0.031836774,0.999283857,0.993067732,1.005538891,0.000410229,0.001338522,1.005264742,0.97206762,1.039596,-0.000364509,0.000430859,0.997633496,0.992172345,1.003125,,0.997936915,0.991234821,1.004684325,0.999283857,0.993067732,1.005538891,1.005264742,0.97206762,1.039595579,0.997633496,0.992172345,1.003124707
Age 60+ Female,-0.001633498,0.004088719,0.998367835,0.990399,1.006401,-0.02294234,0.03778964,0.997708396,0.9903459,1.005125627,0.000488275,0.001731703,1.006269492,0.963488194,1.05095,-0.000446933,0.000512688,0.997099151,0.990607676,1.003633,,0.998367835,0.990399,1.006400789,0.997708396,0.9903459,1.005125627,1.006269492,0.963488194,1.050950387,0.997099151,0.990607676,1.003633165
Age 60+ Male,-0.002725012,0.00474923,0.997278697,0.98803861,1.006605,0.01735007,0.04407673,1.001736513,0.993119746,1.010428043,0.000565908,0.002018575,1.007269921,0.957529846,1.059594,-0.000238116,0.000594694,0.998453443,0.990917343,1.006047,,0.997278697,0.98803861,1.006605198,1.001736513,0.993119746,1.010428043,1.007269921,0.957529846,1.059593805,0.998453443,0.990917343,1.006046856
All: LAG 9,-0.003415795,0.002073198,0.996590032,0.992548637,1.000648,-0.004800537,0.019238517,0.999520062,0.995758219,1.003296116,0.000248133,0.000611411,1.003181152,0.987910693,1.018688,-0.000532799,0.000259817,0.996542796,0.993249625,0.999847,,0.996590032,0.992548637,1.000647883,0.999520062,0.995758219,1.003296116,1.003181152,0.987910693,1.01868765,0.996542796,0.993249625,0.999846887
Female,-0.003204799,0.002589834,0.996800331,0.991753318,1.001873,0.00303921,0.02396242,1.000303967,0.995616921,1.005013079,0.000308832,0.000774855,1.003960873,0.984632787,1.023668,-0.000629842,0.000324478,0.995914396,0.991805933,1.00004,,0.996800331,0.991753318,1.001873028,1.000303967,0.995616921,1.005013079,1.003960873,0.984632787,1.023668365,0.995914396,0.991805933,1.000039878
Male,-0.003592756,0.002300709,0.99641369,0.991930588,1.000917,-0.01133884,0.02140667,0.998866759,0.994684586,1.003066515,0.000276119,0.000786809,1.003540576,0.983925456,1.023547,-0.000453973,0.000288433,0.997053525,0.993396439,1.000724,,0.99641369,0.991930588,1.000917054,0.998866759,0.994684586,1.003066515,1.003540576,0.983925456,1.023546735,0.997053525,0.993396439,1.000724074
Warm All,-0.005886487,0.002486074,0.994130804,0.989298481,0.998987,-0.095170712,0.030776337,0.990528073,0.984571032,0.996521156,0.000291223,0.000770211,1.003734611,0.984525579,1.023318,-0.000539187,0.000344745,0.996501419,0.992134331,1.000888,,0.994130804,0.989298481,0.998986732,0.990528073,0.984571032,0.996521156,1.003734611,0.984525579,1.023318429,0.996501419,0.992134331,1.00088773
Warm Female,-0.007267209,0.002986337,0.992759133,0.986965268,0.998587,-0.101029421,0.037228529,0.989947921,0.982750767,0.997197783,0.000348735,0.001000874,1.004473786,0.979565553,1.030015,-0.000759441,0.000414807,0.995075797,0.989831049,1.000348,,0.992759133,0.986965268,0.998587011,0.989947921,0.982750767,0.997197783,1.004473786,0.979565553,1.030015381,0.995075797,0.989831049,1.000348335
Warm Male,-0.004793981,0.002890342,0.995217492,0.989595454,1.000871,-0.09054552,0.0356607,0.990986317,0.984083971,0.997937076,0.000339002,0.00101367,1.004348654,0.979129148,1.030218,-0.000364817,0.000400081,0.997631499,0.992559476,1.002729,,0.995217492,0.989595454,1.000871469,0.990986317,0.984083971,0.997937076,1.004348654,0.979129148,1.030217741,0.997631499,0.992559476,1.00272944
Cold All,-0.001502079,0.003494188,0.998499049,0.991684083,1.005361,0.04271446,0.02512591,1.004280582,0.999346981,1.009238539,0.000442478,0.00099913,1.005679788,0.980784561,1.031207,-0.000487335,0.000387289,0.996837334,0.991930991,1.001768,,0.998499049,0.991684083,1.005360848,1.004280582,0.999346981,1.009238539,1.005679788,0.980784561,1.031206929,0.996837334,0.991930991,1.001767945
Cold Female,0.000355318,0.004467072,1.000355381,0.99163504,1.009152,0.05604552,0.03208158,1.005620287,0.999316796,1.011963539,0.000562353,0.00123922,1.007224087,0.976391708,1.03903,-0.000484481,0.000495939,0.996855827,0.990577285,1.003174,,1.000355381,0.99163504,1.009152409,1.005620287,0.999316796,1.011963539,1.007224087,0.976391708,1.039030087,0.996855827,0.990577285,1.003174163
Cold Male,-0.003087929,0.003748247,0.996916834,0.989619757,1.004268,0.03121686,0.0269956,1.003126564,0.9978329,1.008448311,0.000477074,0.001261815,1.00612523,0.974773768,1.038485,-0.000490638,0.000415024,0.996815933,0.991559272,1.0021,,0.996916834,0.989619757,1.004267716,1.003126564,0.9978329,1.008448311,1.00612523,0.974773768,1.038485043,0.996815933,0.991559272,1.002100462
Age 0-10 All,0.000583291,0.004121528,1.000583461,0.992533113,1.008699,-0.03721057,0.03923434,0.996285858,0.988653871,1.00397676,0.000493704,0.001067363,1.006339421,0.979749265,1.033651,-5.06E-05,0.000519555,0.999670926,0.993075824,1.00631,,1.000583461,0.992533113,1.008699105,0.996285858,0.988653871,1.00397676,1.006339421,0.979749265,1.033651227,0.999671154,0.993076051,1.006310056
Age 0-10 Female,-0.000661222,0.005728146,0.999338997,0.988182,1.010622,-0.03351053,0.05448976,0.996654556,0.98606693,1.007355862,0.000684735,0.001478097,1.00880313,0.972079304,1.046914,-0.000319493,0.00072374,0.99792545,0.988766421,1.007169,,0.999338997,0.988182,1.010621961,0.996654556,0.98606693,1.007355862,1.00880313,0.972079304,1.046914331,0.99792545,0.988766421,1.007169321
Age 0-10 Male,0.001506653,0.005024944,1.001507789,0.991692463,1.01142,-0.03981939,0.04789058,0.996025978,0.986720469,1.005419246,0.000603253,0.001311933,1.007751527,0.975122537,1.041472,0.000145192,0.000632394,1.000944193,0.992912286,1.009041,,1.001507789,0.991692463,1.011420262,0.996025978,0.986720469,1.005419246,1.007751527,0.975122537,1.04147233,1.000944193,0.992912286,1.009041073
Age 11-60 All,-0.003571826,0.002226749,0.996434545,0.992095155,1.000793,-0.002477472,0.020607425,0.999752283,0.995722373,1.003798504,0.000266741,0.00074776,1.00342012,0.984771624,1.022422,-0.000557275,0.00027896,0.996384265,0.99284945,0.999932,,0.996434545,0.992095155,1.000792916,0.999752283,0.995722373,1.003798504,1.00342012,0.984771624,1.02242176,0.996384265,0.99284945,0.999931665
Age 11-60 Female,-0.002890803,0.002973956,0.997113371,0.99131815,1.002942,0.01581734,0.02742107,1.001582986,0.996214388,1.006980515,3.55E-04,0.000963927,1.004548283,0.980546677,1.029137,-0.000530671,0.000372252,0.996556581,0.99184161,1.001294,,0.997113371,0.99131815,1.002942471,1.001582986,0.996214388,1.006980515,1.00455434,0.980552588,1.029143601,0.996556581,0.99184161,1.001293965
Age 11-60 Male,-0.004060624,0.002497158,0.995947609,0.991084923,1.000834,-0.01557622,0.02318116,0.99844359,0.993917445,1.002990348,0.000300077,0.001011943,1.003848372,0.97868383,1.02966,-0.00057695,0.000313077,0.996256848,0.992291091,1.000238,,0.995947609,0.991084923,1.000834153,0.99844359,0.993917445,1.002990348,1.003848372,0.97868383,1.02965996,0.996256848,0.992291091,1.000238454
Age 60+All,-0.00550769,0.003451209,0.99450745,0.987802935,1.001257,0.005880517,0.031815637,1.000588225,0.994368106,1.006847253,0.000411148,0.001338601,1.005276567,0.972077128,1.03961,-0.000752757,0.000431646,0.99511903,0.989661721,1.000606,,0.99450745,0.987802935,1.00125747,1.000588225,0.994368106,1.006847253,1.005276567,0.972077128,1.039609868,0.99511903,0.989661721,1.000606433
Age 60+ Female,-0.005208599,0.004112669,0.994804942,0.986818221,1.002856,-0.01377259,0.03781542,0.998623689,0.99124943,1.006052808,0.000489902,0.001732647,1.006290448,0.96348544,1.050997,-1.02E-03,0.000514915,0.993414995,0.986919504,0.999953,,0.994804942,0.986818221,1.002856304,0.998623689,0.99124943,1.006052808,1.006290448,0.96348544,1.050997164,0.99339193,0.98689659,0.99993002
Age 60+ Male,-0.00596571,0.004755167,0.99405205,0.984830398,1.00336,0.03629297,0.04396745,1.003635891,0.995024098,1.012322218,0.000566291,0.002018149,1.007274859,0.957544774,1.059588,-0.000353569,0.000593723,0.99770444,0.990186243,1.00528,,0.99405205,0.984830398,1.00336005,1.003635891,0.995024098,1.012322218,1.007274859,0.957544774,1.059587675,0.99770444,0.990186243,1.005279721
All: LAG 10,-0.000126101,0.002077891,0.999873907,0.995810035,1.003954,0.01983973,0.01930164,1.001985942,0.998202469,1.005783756,0.000248422,0.000615423,1.003184863,0.987814916,1.018794,-0.000299534,0.000259972,0.998054923,0.99475479,1.001366,,0.999873907,0.995810035,1.003954363,1.001985942,0.998202469,1.005783756,1.003184863,0.987814916,1.018793958,0.998054923,0.99475479,1.001366004
Female,8.47E-06,0.002599888,1.000008471,0.994925609,1.005117,0.01448397,0.02408436,1.001449446,0.99673321,1.006187999,0.000309899,0.000782102,1.003974585,0.98446723,1.023868,-0.00038678,0.000324882,0.997489088,0.993369016,1.001626,,1.00000847,0.994925608,1.005117299,1.001449446,0.99673321,1.006187999,1.003974585,0.98446723,1.023868481,0.997489088,0.993369016,1.001626248
Male,-0.000242072,0.00230535,0.999757957,0.995250755,1.004286,0.02418086,0.02147227,1.002421012,0.998211123,1.006648656,0.000276294,0.000790215,1.003542824,0.983843587,1.023636,-0.000229047,0.000288753,0.998512302,0.99484581,1.002192,,0.999757957,0.995250755,1.004285571,1.002421012,0.998211123,1.006648656,1.003542824,0.983843587,1.023636494,0.998512302,0.99484581,1.002192307
Warm All,-0.004902514,0.002490306,0.995109484,0.990264189,0.999978,-0.07923199,0.03103531,0.992108107,0.98609151,0.998161414,2.91E-04,0.000777471,1.003730975,0.98434271,1.023501,-0.000510841,0.000344968,0.99668504,0.992314328,1.001075,,0.995109484,0.990264189,0.999978486,0.992108107,0.98609151,0.998161414,1.003731746,0.984343466,1.02350191,0.99668504,0.992314328,1.001075003
Warm Female,-0.007843423,0.002994435,0.992187256,0.986381073,0.998028,-0.121881689,0.037478976,0.987885806,0.980655505,0.995169415,0.000349206,0.001015578,1.004479841,0.979210167,1.030402,-0.000977557,0.000415142,0.993666024,0.988424488,0.998935,,0.992187256,0.986381073,0.998027617,0.987885806,0.980655505,0.995169415,1.004479841,0.979210167,1.030401629,0.993666024,0.988424488,0.998935356
Warm Male,-0.002577416,0.002901508,0.997425903,0.991769684,1.003114,-0.04576689,0.03608451,0.995433768,0.988418337,1.002498992,0.000339381,0.001018089,1.004353526,0.979025353,1.030337,-0.000143382,0.0004015,0.999068451,0.993971154,1.004192,,0.997425903,0.991769684,1.003114379,0.995433768,0.988418337,1.002498992,1.004353526,0.979025353,1.030336959,0.999068451,0.993971154,1.004191888
Cold All,0.005086485,0.003485767,1.005099443,0.998255904,1.01199,0.072970288,0.025073678,1.007323717,1.002385429,1.012286334,0.000441667,0.001001837,1.005669348,0.980707775,1.031266,-3.27E-05,0.000385909,0.999787564,0.994884192,1.004715,,1.005099443,0.998255904,1.011989898,1.007323717,1.002385429,1.012286334,1.005669348,0.980707775,1.031266258,0.999787473,0.9948841,1.004715012
Cold Female,0.008986659,0.004464711,1.00902716,1.000235853,1.017896,0.08386591,0.03213668,1.008421857,1.002089983,1.01479374,0.000563206,0.001242233,1.007235084,0.976328565,1.03912,0.000213941,0.000494762,1.001391584,0.995099396,1.007724,,1.00902716,1.000235853,1.017895736,1.008421857,1.002089983,1.01479374,1.007235084,0.976328565,1.039119976,1.001391584,0.995099396,1.007723558
Cold Male,0.001772201,0.003740949,1.001773772,0.994455369,1.009146,0.06370712,0.02693339,1.006391048,1.001092364,1.011717778,0.000475817,0.001263999,1.006109042,0.974704677,1.038525,-0.000241975,0.000413721,0.998428399,0.993179721,1.003705,,1.001773772,0.994455369,1.009146033,1.006391048,1.001092364,1.011717778,1.006109042,0.974704677,1.038525236,0.998428399,0.993179721,1.003704814
Age 0-10 All,0.005664527,0.004141417,1.005680601,0.997550355,1.013877,0.007148573,0.039392398,1.000715113,0.993018432,1.008471449,0.000495393,0.001074824,1.006361177,0.979587069,1.033867,-0.000032381,0.000522013,0.999789546,0.99316256,1.006461,,1.005680601,0.997550355,1.01387711,1.000715113,0.993018432,1.008471449,1.006361177,0.979587069,1.033867076,0.999789546,0.99316256,1.00646075
Age 0-10 Female,0.00815179,0.005750017,1.008185106,0.996886613,1.019612,0.001747217,0.054699223,1.000174737,0.989509092,1.010955344,0.0006858,0.001491837,1.008816882,0.971757524,1.04729,-0.000116268,0.000724965,0.999244544,0.990057956,1.008516,,1.008185106,0.996886613,1.019611654,1.000174737,0.989509092,1.010955344,1.008816882,0.971757524,1.047289551,0.999244544,0.990057956,1.008516372
Age 0-10 Male,0.003887305,0.005059021,1.00389487,0.993989758,1.013899,0.01101487,0.04816994,1.001102094,0.991694859,1.010598566,0.000606697,0.00131839,1.007795953,0.975007567,1.041687,2.84E-05,0.000637439,1.0001847,0.992095119,1.00834,,1.00389487,0.993989758,1.013898687,1.001102094,0.991694859,1.010598566,1.007795953,0.975007567,1.041686975,1.000184617,0.992095037,1.00834016
Age 11-60 All,-0.000771515,0.002231306,0.999228783,0.994868337,1.003608,0.02061858,0.02067307,1.002063985,0.998011915,1.006132507,0.00026701,0.000754794,1.003423575,0.984601248,1.022606,-0.000237817,0.000279012,0.998455384,0.994912562,1.002011,,0.999228783,0.994868337,1.003608339,1.002063985,0.998011915,1.006132507,1.003423575,0.984601248,1.022605723,0.998455384,0.994912562,1.002010821
Age 11-60 Female,-4.39E-05,0.002987101,0.999956052,0.994118696,1.005828,0.02926034,0.0275606,1.002930319,0.997527219,1.008362685,0.000356171,0.000975947,1.004569397,0.980271633,1.029469,-0.000176289,0.000372816,0.998854778,0.99412179,1.00361,,0.999956101,0.994118745,1.005827734,1.002930319,0.997527219,1.008362685,1.004569397,0.980271633,1.029469424,0.998854778,0.99412179,1.003610299
Age 11-60 Male,-0.00129854,0.002500691,0.998702303,0.993819285,1.003609,0.01431573,0.02325181,1.001432598,0.996879098,1.006006897,0.000300015,0.001017697,1.003847575,0.978541785,1.029808,-0.000283335,0.000313132,0.998160017,0.994185988,1.00215,,0.998702303,0.993819285,1.003609312,1.001432598,0.996879098,1.006006897,1.003847575,0.978541785,1.029807791,0.998160017,0.994185988,1.002149932
Age 60+All,-0.001546919,0.003473011,0.998454277,0.991680777,1.005274,0.02447103,0.03211167,1.0024501,0.996160605,1.008779304,0.00041341,0.001341078,1.005305673,0.972044866,1.039705,-0.000691514,0.000433579,0.995515246,0.990031382,1.001029,,0.998454277,0.991680777,1.005274042,1.0024501,0.996160605,1.008779304,1.005305673,0.972044866,1.039704578,0.995515246,0.990031382,1.001029485
Age 60+ Female,-0.003543647,0.004133797,0.996462624,0.988421662,1.004569,-0.0170688,0.03819202,0.998294576,0.990849606,1.005795485,4.92E-04,0.001734803,1.006316415,0.963458189,1.051081,-0.001029075,0.000516243,0.993333334,0.986821681,0.999888,,0.996462624,0.988421662,1.004569001,0.998294576,0.990849606,1.005795485,1.006317472,0.9634592,1.05108224,0.993333334,0.986821681,0.999887955
Age 60+ Male,0.001485158,0.004782522,1.001486261,0.992142448,1.010918,0.08820724,0.04424637,1.008859741,1.000148446,1.017646911,0.000569511,0.002020562,1.007316376,0.957526273,1.059695,-0.000177725,0.00059689,0.998845455,0.991278662,1.00647,,1.001486261,0.992142448,1.010918073,1.008859741,1.000148446,1.017646911,1.007316376,0.957526273,1.059695497,0.998845455,0.991278662,1.006470007
All: LAG 11,0.000946293,0.002075721,1.000946741,0.996882749,1.005027,0.01562001,0.01945623,1.001563222,0.997751112,1.005389896,2.47E-04,0.000615876,1.003172702,0.987791716,1.018793,-3.17E-04,0.000259182,0.997940006,0.994650264,1.001241,,1.000946741,0.996882749,1.005027301,1.001563222,0.997751112,1.005389896,1.003166603,0.98778571,1.018786993,0.997941621,0.994651874,1.00124225
Female,0.000981902,0.002596833,1.000982384,0.995900535,1.00609,0.02073483,0.02424253,1.002075634,0.99732553,1.006848362,0.000309001,0.000781704,1.003963045,0.984465744,1.023846,-0.00044007,0.000323919,0.997143632,0.993037171,1.001267,,1.000982384,0.995900535,1.006090165,1.002075634,0.99732553,1.006848362,1.003963045,0.984465744,1.023846489,0.997143632,0.993037171,1.001267075
Male,0.000910933,0.00230489,1.000911348,0.996399845,1.005443,0.01135469,0.02168987,1.001136114,0.996889103,1.005401218,0.000275233,0.000791616,1.003529195,0.983795647,1.023659,-0.000216327,0.00028806,0.998594863,0.994936851,1.002266,,1.000911348,0.996399845,1.005443278,1.001136114,0.996889103,1.005401218,1.003529195,0.983795647,1.023658571,0.998594863,0.994936851,1.002266323
